,neg,neu,pos,compound
456,0.0,1.0,0.0,0.0
457,0.0,1.0,0.0,0.0
458,0.0,0.239,0.761,0.4926
459,0.0,1.0,0.0,0.0
460,0.0,0.0,1.0,0.4019
461,0.0,1.0,0.0,0.0
462,0.0,0.734,0.266,0.4404
463,0.136,0.734,0.13,-0.0274
464,0.0,1.0,0.0,0.0
465,0.0,0.607,0.393,0.3802
466,0.0,0.783,0.217,0.3612
467,0.0,0.612,0.388,0.765
468,0.0,0.421,0.579,0.6696
469,0.134,0.806,0.059,-0.34
470,0.0,0.897,0.103,0.2382
471,0.13,0.87,0.0,-0.34
472,0.0,0.619,0.381,0.5707
473,0.0,1.0,0.0,0.0
474,0.0,0.0,1.0,0.6486
475,0.0,0.58,0.42,0.4404
476,0.0,1.0,0.0,0.0
477,0.0,0.27,0.73,0.4019
478,0.124,0.876,0.0,-0.3412
479,0.0,1.0,0.0,0.0
480,0.0,0.824,0.176,0.5927
481,0.0,1.0,0.0,0.0
482,0.0,1.0,0.0,0.0
483,0.0,1.0,0.0,0.0
484,0.109,0.891,0.0,-0.296
485,0.0,0.609,0.391,0.824
486,0.09,0.56,0.351,0.7179
487,0.0,0.72,0.28,0.7906
488,0.0,1.0,0.0,0.0
489,0.0,0.585,0.415,0.7783
490,0.066,0.578,0.356,0.7923
491,0.078,0.777,0.146,0.34
492,0.0,0.672,0.328,0.5267
493,0.098,0.711,0.191,0.1796
494,0.146,0.63,0.224,0.459
495,0.0,1.0,0.0,0.0
496,0.235,0.765,0.0,-0.6808
497,0.061,0.606,0.333,0.802
498,0.0,0.143,0.857,0.7184
499,0.0,0.812,0.188,0.4588
500,0.0,1.0,0.0,0.0
501,0.057,0.57,0.373,0.7964
502,0.0,0.757,0.243,0.5423
503,0.0,0.828,0.172,0.4019
504,0.0,0.748,0.252,0.4019
505,0.0,0.645,0.355,0.296
506,0.0,0.782,0.218,0.5994
507,0.0,0.654,0.346,0.6476
508,0.0,1.0,0.0,0.0
509,0.0,0.877,0.123,0.2732
510,0.086,0.777,0.137,0.0289
511,0.0,1.0,0.0,0.0
512,0.0,1.0,0.0,0.0
513,0.115,0.818,0.067,-0.2846
514,0.0,0.239,0.761,0.4926
515,0.0,0.78,0.22,0.6369
516,0.0,0.828,0.172,0.1695
517,0.0,1.0,0.0,0.0
518,0.0,0.702,0.298,0.624
519,0.0,1.0,0.0,0.0
520,0.074,0.796,0.13,0.3147
521,0.061,0.614,0.325,0.8074
522,0.0,0.872,0.128,0.2263
523,0.0,0.582,0.418,0.7092
524,0.0,0.763,0.237,0.7351
525,0.156,0.688,0.156,0.0
526,0.0,1.0,0.0,0.0
527,0.253,0.631,0.116,-0.383
528,0.424,0.576,0.0,-0.7964
529,0.0,0.842,0.158,0.4588
530,0.0,1.0,0.0,0.0
531,0.0,0.749,0.251,0.7717
532,0.0,1.0,0.0,0.0
533,0.0,1.0,0.0,0.0
534,0.0,0.759,0.241,0.624
535,0.0,0.853,0.147,0.2263
536,0.0,1.0,0.0,0.0
537,0.0,0.733,0.267,0.6249
538,0.0,1.0,0.0,0.0
539,0.0,0.621,0.379,0.6705
540,0.0,1.0,0.0,0.0
541,0.386,0.614,0.0,-0.5267
542,0.0,0.723,0.277,0.3182
543,0.0,0.823,0.177,0.5106
544,0.0,1.0,0.0,0.0
545,0.0,1.0,0.0,0.0
546,0.0,1.0,0.0,0.0
547,0.0,1.0,0.0,0.0
548,0.268,0.592,0.14,-0.3368
549,0.157,0.843,0.0,-0.3818
550,0.0,1.0,0.0,0.0
